# Data version: 2026-09
# DGIdb version: v.5.0.13
gene_claim_name	gene_concept_id	gene_name	drug_claim_name	drug_concept_id	drug_name	drug_is_approved	drug_is_immunotherapy	drug_is_antineoplastic	interaction_source_db_name	interaction_source_db_version	interaction_types	interaction_score	drug_specificity_score	gene_specificity_score	evidence_score
RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M2	hgnc:10452	RRM2	Gemcitabine prodrug						TTD	2020.06.01	""
RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M2	hgnc:10452	RRM2	Gemcitabine	rxcui:12574	GEMCITABINE	true	false	true	TTD	2020.06.01	""	0.1345480877553285	0.04216986766416245	0.7976553829078802	4
RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M2	hgnc:10452	RRM2	NKP-46						TTD	2020.06.01	""
RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M2	hgnc:10452	RRM2	Triapine	ncit:C2242	TRIAPINE	false	false	true	TTD	2020.06.01	""	1.950947272452263	0.6114630811303555	0.7976553829078802	4
RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M2	hgnc:10452	RRM2	CO-101	chembl:CHEMBL3039516	GEMCITABINE ELAIDATE	false	false	false	TTD	2020.06.01	""	2.926420908678395	3.668778486782133	0.7976553829078802	1
RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M2	hgnc:10452	RRM2	CALAA-01	ncit:C78450	TRANSFERRIN RECEPTOR-TARGETED ANTI-RRM2 SIRNA CALAA-01	false	false	false	TTD	2020.06.01	""	1.463210454339197	1.8343892433910665	0.7976553829078802	1
RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M2	hgnc:10452	RRM2	Hydroxyurea	rxcui:5552	HYDROXYUREA	true	false	true	TTD	2020.06.01	""	0.5089427667266775	0.1595121081209623	0.7976553829078802	4
RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE M2	hgnc:10452	RRM2	LY-2334737	drugbank:DB12906	LY-2334737	false	false	false	TTD	2020.06.01	""	2.926420908678395	3.668778486782133	0.7976553829078802	1
8231511			PIPERONYL BUTOXIDE	chembl:CHEMBL1201131	PIPERONYL BUTOXIDE	true	false	false	ChEMBL	37	inhibitor
SMAD2	hgnc:6768	SMAD2	AMIFOSTINE	rxcui:1545987	AMIFOSTINE ANHYDROUS	true	false	false	NCI	14-September-2017	""	1.734175353290901	0.6114630811303555	1.4180540140584537	2
